Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
31,Female,Master's,Data Scientist,9," 1,95,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
23,Male,Bachelor's,Data Analyst,1," 95,000 "
32,Female,PhD,Data Scientist,10," 1,93,000 "
29,Male,Bachelor's,Software Engineer,6," 1,75,000 "
30,Female,Bachelor's,Product Manager,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
31,Female,Master's,Data Scientist,6," 1,80,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
33,Male,Master's,Product Manager,11," 1,98,000 "
26,Female,Bachelor's,Data Analyst,3," 1,30,000 "
30,Male,PhD,Data Scientist,7," 1,85,000 "
27,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Master's,Product Manager,12," 1,96,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
30,Male,Bachelor's,Data Analyst,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
31,Female,PhD,Data Scientist,9," 1,95,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Male,Bachelor's,Data Analyst,2," 1,25,000 "
28,Female,Master's,Data Scientist,6," 1,75,000 "
30,Male,Bachelor's,Software Engineer,8," 1,90,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
24,Male,Bachelor's,Data Analyst,1," 95,000 "
31,Male,Master's,Data Scientist,9," 1,95,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
23,Male,Bachelor's,Data Analyst,1," 90,000 "
32,Female,PhD,Data Scientist,10," 1,93,000 "
29,Male,Bachelor's,Software Engineer,6," 1,70,000 "
30,Female,Bachelor's,Product Manager,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,35,000 "
31,Female,Master's,Data Scientist,6," 1,80,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
25,Male,Bachelor's,Data Analyst,2," 1,15,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
33,Male,Master's,Product Manager,11," 1,98,000 "
26,Female,Bachelor's,Data Analyst,3," 1,30,000 "
30,Male,PhD,Data Scientist,7," 1,85,000 "
27,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Master's,Product Manager,12," 1,96,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
30,Male,Bachelor's,Data Analyst,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
31,Female,PhD,Data Scientist,9," 1,95,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
23,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Female,Master's,Data Scientist,4," 1,50,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
24,Female,Bachelor's,Product Manager,3," 1,25,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
31,Male,Master's,Data Scientist,7," 1,80,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
33,Female,Master's,Product Manager,10," 1,95,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
30,Female,PhD,Data Scientist,6," 1,70,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,11," 1,96,000 "
23,Male,Bachelor's,Data Analyst,1," 92,000 "
32,Female,PhD,Data Scientist,9," 1,95,000 "
29,Male,Bachelor's,Software Engineer,6," 1,70,000 "
30,Female,Bachelor's,Product Manager,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,35,000 "
31,Female,Master's,Data Scientist,6," 1,80,000 "
28,Male,Bachelor's,Software Engineer,5," 1,65,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 95,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
25,Male,Bachelor's,Data Analyst,2," 1,15,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
33,Male,Master's,Product Manager,11," 1,98,000 "
26,Female,Bachelor's,Data Analyst,3," 1,30,000 "
30,Male,PhD,Data Scientist,7," 1,85,000 "
27,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Master's,Product Manager,12," 1,96,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
30,Male,Bachelor's,Data Analyst,5," 1,60,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
31,Female,PhD,Data Scientist,9," 1,95,000 "
28,Male,Bachelor's,Software Engineer,5," 1,60,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
25,Male,Bachelor's,Data Analyst,3," 1,35,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
30,Male,Bachelor's,Data Analyst,5," 1,60,000 "
24,Male,Bachelor's,Data Analyst,1," 95,000 "
33,Female,Master's,Product Manager,11," 1,96,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Female,Bachelor's,Data Analyst,3," 1,30,000 "
30,Male,PhD,Data Scientist,7," 1,85,000 "
27,Female,Bachelor's,Product Manager,4," 1,50,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
33,Male,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,15,000 "
28,Male,Bachelor's,Software Engineer,5," 1,65,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
31,Female,Master's,Data Scientist,6," 1,80,000 "
30,Male,Bachelor's,Data Analyst,5," 1,60,000 "
24,Male,Bachelor's,Data Analyst,1," 92,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
25,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
34,Female,Master's,Product Manager,12," 1,96,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
26,Male,Bachelor's,Data Analyst,3," 1,30,000 "
29,Female,Master's,Data Scientist,6," 1,80,000 "
32,Male,Bachelor's,Software Engineer,8," 1,90,000 "
33,Female,Master's,Product Manager,11," 1,98,000 "
24,Male,Bachelor's,Data Analyst,1," 90,000 "
27,Male,Bachelor's,Software Engineer,4," 1,40,000 "
25,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,7," 1,85,000 "
31,Male,Bachelor's,Data Analyst,9," 1,95,000 "
28,Female,Bachelor's,Software Engineer,5," 1,60,000 "
